ISBN,title,author,Year-Of-Publication,image
0316284955,White Oleander : A Novel (Oprah's Book Club),Janet Fitch,2000,http://images.amazon.com/images/P/0316284955.01.MZZZZZZZ.jpg
0316569321,White Oleander : A Novel,Janet Fitch,1999,http://images.amazon.com/images/P/0316569321.01.MZZZZZZZ.jpg
0316182540,White Oleander : A Novel,Janet Fitch,2001,http://images.amazon.com/images/P/0316182540.01.MZZZZZZZ.jpg
0316602051,The Jester,James Patterson,2003,http://images.amazon.com/images/P/0316602051.01.MZZZZZZZ.jpg
0446613843,The Jester,James Patterson,2004,http://images.amazon.com/images/P/0446613843.01.MZZZZZZZ.jpg
0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg
0316776963,Me Talk Pretty One Day,David Sedaris,2001,http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg
0316777722,Me Talk Pretty One Day,David Sedaris,2000,http://images.amazon.com/images/P/0316777722.01.MZZZZZZZ.jpg
0316777730,Naked,David Sedaris,1998,http://images.amazon.com/images/P/0316777730.01.MZZZZZZZ.jpg
0316779490,Naked,David Sedaris,1997,http://images.amazon.com/images/P/0316779490.01.MZZZZZZZ.jpg
1586212230,Naked,David Sedaris,2001,http://images.amazon.com/images/P/1586212230.01.MZZZZZZZ.jpg
0743412508,Naked,Francine Pascal,2001,http://images.amazon.com/images/P/0743412508.01.MZZZZZZZ.jpg
0345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg
0345361792,A Prayer for Owen Meany,John Irving,1990,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg
0345404769,Silent Witness,RICHARD NORTH PATTERSON,1997,http://images.amazon.com/images/P/0345404769.01.MZZZZZZZ.jpg
0679450408,Silent Witness,Richard North Patterson,1997,http://images.amazon.com/images/P/0679450408.01.MZZZZZZZ.jpg
0802753183,Silent Witness,Margaret Yorke,1975,http://images.amazon.com/images/P/0802753183.01.MZZZZZZZ.jpg
0590471015,Silent Witness,Carol Ellis,1994,http://images.amazon.com/images/P/0590471015.01.MZZZZZZZ.jpg
0345404777,No Safe Place,RICHARD NORTH PATTERSON,1999,http://images.amazon.com/images/P/0345404777.01.MZZZZZZZ.jpg
0679450424,No Safe Place,Richard North Patterson,1998,http://images.amazon.com/images/P/0679450424.01.MZZZZZZZ.jpg
155166044X,No Safe Place,Barbara Bretton,1995,http://images.amazon.com/images/P/155166044X.01.MZZZZZZZ.jpg
0345413903,The Murder Book,Jonathan Kellerman,2003,http://images.amazon.com/images/P/0345413903.01.MZZZZZZZ.jpg
0345452534,The Murder Book,JONATHAN KELLERMAN,2002,http://images.amazon.com/images/P/0345452534.01.MZZZZZZZ.jpg
0374199698,Middlesex: A Novel,Jeffrey Eugenides,2002,http://images.amazon.com/images/P/0374199698.01.MZZZZZZZ.jpg
0312422156,Middlesex: A Novel,Jeffrey Eugenides,2003,http://images.amazon.com/images/P/0312422156.01.MZZZZZZZ.jpg
0380710218,Postmortem,Patricia Daniels Cornwell,1993,http://images.amazon.com/images/P/0380710218.01.MZZZZZZZ.jpg
0743477154,Postmortem,Patricia Cornwell,2003,http://images.amazon.com/images/P/0743477154.01.MZZZZZZZ.jpg
0694522899,Postmortem,Patricia D. Cornwell,2000,http://images.amazon.com/images/P/0694522899.01.MZZZZZZZ.jpg
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,http://images.amazon.com/images/P/0380718332.01.MZZZZZZZ.jpg
0385424736,The Rainmaker,John Grisham,1995,http://images.amazon.com/images/P/0385424736.01.MZZZZZZZ.jpg
044022165X,The Rainmaker,JOHN GRISHAM,1996,http://images.amazon.com/images/P/044022165X.01.MZZZZZZZ.jpg
0440295424,The Rainmaker,John Grisham,1996,http://images.amazon.com/images/P/0440295424.01.MZZZZZZZ.jpg
0099271273,The Rainmaker,John Grisham,1998,http://images.amazon.com/images/P/0099271273.01.MZZZZZZZ.jpg
0385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997,http://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg
076790592X,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,2002,http://images.amazon.com/images/P/076790592X.01.MZZZZZZZ.jpg
0385486804,Into the Wild,Jon Krakauer,1997,http://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg
067942850X,Into the Wild,Jon Krakauer,1996,http://images.amazon.com/images/P/067942850X.01.MZZZZZZZ.jpg
0385503857,Oryx and Crake,Margaret Atwood,2003,http://images.amazon.com/images/P/0385503857.01.MZZZZZZZ.jpg
0385721676,Oryx and Crake,MARGARET ATWOOD,2004,http://images.amazon.com/images/P/0385721676.01.MZZZZZZZ.jpg
0739307444,Oryx and Crake,MARGARET ATWOOD,2003,http://images.amazon.com/images/P/0739307444.01.MZZZZZZZ.jpg
0385504209,The Da Vinci Code,Dan Brown,2003,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg
0739302043,The Da Vinci Code,DAN BROWN,2003,http://images.amazon.com/images/P/0739302043.01.MZZZZZZZ.jpg
B00008WFXL,The Da Vinci Code,Dan Brown,0,http://images.amazon.com/images/P/B00008WFXL.01.MZZZZZZZ.jpg
0399501487,Lord of the Flies,William Gerald Golding,1959,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg
1573226122,Lord of the Flies,William Golding,1997,http://images.amazon.com/images/P/1573226122.01.MZZZZZZZ.jpg
0881030317,Lord of the Flies,William Golding,1999,http://images.amazon.com/images/P/0881030317.01.MZZZZZZZ.jpg
0399529209,Lord of the Flies,William Golding,2003,http://images.amazon.com/images/P/0399529209.01.MZZZZZZZ.jpg
0425107469,Watchers,Dean R. Koontz,1996,http://images.amazon.com/images/P/0425107469.01.MZZZZZZZ.jpg
0425188809,Watchers,Dean R. Koontz,2003,http://images.amazon.com/images/P/0425188809.01.MZZZZZZZ.jpg
0425113884,Mortal Fear,Robin Cook,1989,http://images.amazon.com/images/P/0425113884.01.MZZZZZZZ.jpg
0451180410,Mortal Fear,Greg Iles,1998,http://images.amazon.com/images/P/0451180410.01.MZZZZZZZ.jpg
0525937927,Mortal Fear,Greg Iles,1997,http://images.amazon.com/images/P/0525937927.01.MZZZZZZZ.jpg
0425115801,Lightning,Dean R. Koontz,1996,http://images.amazon.com/images/P/0425115801.01.MZZZZZZZ.jpg
0440221501,Lightning,DANIELLE STEEL,1996,http://images.amazon.com/images/P/0440221501.01.MZZZZZZZ.jpg
0385311923,Lightning,DANIELLE STEEL,1995,http://images.amazon.com/images/P/0385311923.01.MZZZZZZZ.jpg
0399133194,Lightning,Dean R. Koontz,1988,http://images.amazon.com/images/P/0399133194.01.MZZZZZZZ.jpg
0425192032,Lightning,Dean Koontz,2003,http://images.amazon.com/images/P/0425192032.01.MZZZZZZZ.jpg
0380699745,Lightning,Ed McBain,1991,http://images.amazon.com/images/P/0380699745.01.MZZZZZZZ.jpg
0425116840,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,1989,http://images.amazon.com/images/P/0425116840.01.MZZZZZZZ.jpg
0425121631,Rules of Prey,John Sandford,1992,http://images.amazon.com/images/P/0425121631.01.MZZZZZZZ.jpg
0399134654,Rules of Prey,John Sandford,1989,http://images.amazon.com/images/P/0399134654.01.MZZZZZZZ.jpg
0425152898,Mind Prey,John Sandford,2004,http://images.amazon.com/images/P/0425152898.01.MZZZZZZZ.jpg
0399140093,Mind Prey,John Sandford,1995,http://images.amazon.com/images/P/0399140093.01.MZZZZZZZ.jpg
0671522906,Mind Prey,John Sanford,1995,http://images.amazon.com/images/P/0671522906.01.MZZZZZZZ.jpg
0425154092,From Potter's Field,Patricia Daniels Cornwell,1996,http://images.amazon.com/images/P/0425154092.01.MZZZZZZZ.jpg
0425155943,Contagion,Robin Cook,1998,http://images.amazon.com/images/P/0425155943.01.MZZZZZZZ.jpg
0399141065,Contagion,Robin Cook,1995,http://images.amazon.com/images/P/0399141065.01.MZZZZZZZ.jpg
2226093753,Contagion,Robin Cook,2000,http://images.amazon.com/images/P/2226093753.01.MZZZZZZZ.jpg
0425158616,Cause of Death,Patricia Daniels Cornwell,1997,http://images.amazon.com/images/P/0425158616.01.MZZZZZZZ.jpg
0399141464,Cause of Death,Patricia Daniels Cornwell,1996,http://images.amazon.com/images/P/0399141464.01.MZZZZZZZ.jpg
0425174271,Certain Prey,John Sandford,2000,http://images.amazon.com/images/P/0425174271.01.MZZZZZZZ.jpg
039914496X,Certain Prey,John Sandford,1999,http://images.amazon.com/images/P/039914496X.01.MZZZZZZZ.jpg
0425175405,Black Notice,Patricia Daniels Cornwell,2000,http://images.amazon.com/images/P/0425175405.01.MZZZZZZZ.jpg
0399145087,Black Notice,Patricia Daniels Cornwell,1999,http://images.amazon.com/images/P/0399145087.01.MZZZZZZZ.jpg
0439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg
0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,http://images.amazon.com/images/P/0439064864.01.MZZZZZZZ.jpg
0439420105,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2002,http://images.amazon.com/images/P/0439420105.01.MZZZZZZZ.jpg
0439136369,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2001,http://images.amazon.com/images/P/0439136369.01.MZZZZZZZ.jpg
0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg
0786222743,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2000,http://images.amazon.com/images/P/0786222743.01.MZZZZZZZ.jpg
043936213X,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,2001,http://images.amazon.com/images/P/043936213X.01.MZZZZZZZ.jpg
0590353403,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg
0440170796,The Promise,Danielle Steel,1978,http://images.amazon.com/images/P/0440170796.01.MZZZZZZZ.jpg
0449209105,The Promise,Chaim Potok,1985,http://images.amazon.com/images/P/0449209105.01.MZZZZZZZ.jpg
0892438770,The Promise,Luane Roche,1996,http://images.amazon.com/images/P/0892438770.01.MZZZZZZZ.jpg
0380790963,The Promise,Donna Boyd,2000,http://images.amazon.com/images/P/0380790963.01.MZZZZZZZ.jpg
0590437615,The Promise,Robert Westall,1993,http://images.amazon.com/images/P/0590437615.01.MZZZZZZZ.jpg
0786000872,The Promise,Mandalyn Kaye,1995,http://images.amazon.com/images/P/0786000872.01.MZZZZZZZ.jpg
0890813515,The Promise,Hal Lindsey,1982,http://images.amazon.com/images/P/0890813515.01.MZZZZZZZ.jpg
0451204492,The Promise,May McGoldrick,2001,http://images.amazon.com/images/P/0451204492.01.MZZZZZZZ.jpg
0505524759,The Promise,Dee Davis,2002,http://images.amazon.com/images/P/0505524759.01.MZZZZZZZ.jpg
0380974509,The Promise,Donna Boyd,1999,http://images.amazon.com/images/P/0380974509.01.MZZZZZZZ.jpg
0449001164,The Promise,CHAIM POTOK,1997,http://images.amazon.com/images/P/0449001164.01.MZZZZZZZ.jpg
0440176484,Secrets,DANIELLE STEEL,1986,http://images.amazon.com/images/P/0440176484.01.MZZZZZZZ.jpg
0140280456,Secrets,Nuruddin Farah,1999,http://images.amazon.com/images/P/0140280456.01.MZZZZZZZ.jpg
038077139X,Secrets,Brenda Joyce,1993,http://images.amazon.com/images/P/038077139X.01.MZZZZZZZ.jpg
0553235109,Secrets,Anna Aaron,1983,http://images.amazon.com/images/P/0553235109.01.MZZZZZZZ.jpg
0006177379,Secrets,Vera Cowie,1990,http://images.amazon.com/images/P/0006177379.01.MZZZZZZZ.jpg
0385294182,Secrets,Danielle Steel,1985,http://images.amazon.com/images/P/0385294182.01.MZZZZZZZ.jpg
0515076252,Secrets,Barbara Cartland,1984,http://images.amazon.com/images/P/0515076252.01.MZZZZZZZ.jpg
0590325183,Secrets,Deborah Aydt,1981,http://images.amazon.com/images/P/0590325183.01.MZZZZZZZ.jpg
0440193613,Wanderlust,Danielle Steel,1987,http://images.amazon.com/images/P/0440193613.01.MZZZZZZZ.jpg
0452283795,Wanderlust,Chris Dyer,2003,http://images.amazon.com/images/P/0452283795.01.MZZZZZZZ.jpg
0385294638,Wanderlust,Danielle Steel,1986,http://images.amazon.com/images/P/0385294638.01.MZZZZZZZ.jpg
0440213991,Guardian Angel,Sara Paretsky,1996,http://images.amazon.com/images/P/0440213991.01.MZZZZZZZ.jpg
0671670069,Guardian Angel,Julie Garwood,1990,http://images.amazon.com/images/P/0671670069.01.MZZZZZZZ.jpg
0385299311,Guardian Angel,Sara Paretsky,1992,http://images.amazon.com/images/P/0385299311.01.MZZZZZZZ.jpg
0373703066,Guardian Angel,Sandra James,1988,http://images.amazon.com/images/P/0373703066.01.MZZZZZZZ.jpg
0440217466,Vanished,Danielle Steel,1994,http://images.amazon.com/images/P/0440217466.01.MZZZZZZZ.jpg
0385306032,Vanished,Danielle Steel,1993,http://images.amazon.com/images/P/0385306032.01.MZZZZZZZ.jpg
0671679430,Vanished,Mary McGarry Morris,1989,http://images.amazon.com/images/P/0671679430.01.MZZZZZZZ.jpg
0310220033,Vanished,Alton Gansky,2000,http://images.amazon.com/images/P/0310220033.01.MZZZZZZZ.jpg
0670822167,Vanished,Mary McGarry Morris,1988,http://images.amazon.com/images/P/0670822167.01.MZZZZZZZ.jpg
0786011629,Vanished,T. J. MacGregor,2001,http://images.amazon.com/images/P/0786011629.01.MZZZZZZZ.jpg
0140272100,Vanished,Mary McGarry Morris,1997,http://images.amazon.com/images/P/0140272100.01.MZZZZZZZ.jpg
0440224764,The Partner,John Grisham,1998,http://images.amazon.com/images/P/0440224764.01.MZZZZZZZ.jpg
0385472951,The Partner,John Grisham,1997,http://images.amazon.com/images/P/0385472951.01.MZZZZZZZ.jpg
0440225701,The Street Lawyer,JOHN GRISHAM,1999,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg
0385490992,The Street Lawyer,John Grisham,1998,http://images.amazon.com/images/P/0385490992.01.MZZZZZZZ.jpg
0099244926,The Street Lawyer,John Grisham,1999,http://images.amazon.com/images/P/0099244926.01.MZZZZZZZ.jpg
0440236703,Tell No One,Harlan Coben,2002,http://images.amazon.com/images/P/0440236703.01.MZZZZZZZ.jpg
0385335555,Tell No One,HARLAN COBEN,2001,http://images.amazon.com/images/P/0385335555.01.MZZZZZZZ.jpg
0440241073,The Summons,John Grisham,2002,http://images.amazon.com/images/P/0440241073.01.MZZZZZZZ.jpg
0446350982,Presumed Innocent,Scott Turow,1988,http://images.amazon.com/images/P/0446350982.01.MZZZZZZZ.jpg
0446359866,Presumed Innocent,Scott Turow,1989,http://images.amazon.com/images/P/0446359866.01.MZZZZZZZ.jpg
0374237131,Presumed Innocent,Scott Turow,1987,http://images.amazon.com/images/P/0374237131.01.MZZZZZZZ.jpg
0446676446,Presumed Innocent,Scott Turow,2000,http://images.amazon.com/images/P/0446676446.01.MZZZZZZZ.jpg
0762102543,Presumed Innocent,Scott Turow,1999,http://images.amazon.com/images/P/0762102543.01.MZZZZZZZ.jpg
0446602620,Blood Work,Michael Connelly,1998,http://images.amazon.com/images/P/0446602620.01.MZZZZZZZ.jpg
0613236882,Blood Work,Michael Connelly,2000,http://images.amazon.com/images/P/0613236882.01.MZZZZZZZ.jpg
0446603716,Hide &amp; Seek,James Patterson,1996,http://images.amazon.com/images/P/0446603716.01.MZZZZZZZ.jpg
0446604801,Jack &amp; Jill (Alex Cross Novels),James Patterson,1997,http://images.amazon.com/images/P/0446604801.01.MZZZZZZZ.jpg
0446607193,Unspeakable,Sandra Brown,1999,http://images.amazon.com/images/P/0446607193.01.MZZZZZZZ.jpg
0446519790,Unspeakable,Sandra Brown,1998,http://images.amazon.com/images/P/0446519790.01.MZZZZZZZ.jpg
0446608890,Saving Faith,David Baldacci,2000,http://images.amazon.com/images/P/0446608890.01.MZZZZZZZ.jpg
0446525774,Saving Faith,David Baldacci,1999,http://images.amazon.com/images/P/0446525774.01.MZZZZZZZ.jpg
0446611212,Violets Are Blue,James Patterson,2002,http://images.amazon.com/images/P/0446611212.01.MZZZZZZZ.jpg
0316693235,Violets Are Blue,James Patterson,2001,http://images.amazon.com/images/P/0316693235.01.MZZZZZZZ.jpg
0843950293,Violets Are Blue,Ronda Thompson,2002,http://images.amazon.com/images/P/0843950293.01.MZZZZZZZ.jpg
0449221482,J Is for Judgment,Sue Grafton,1999,http://images.amazon.com/images/P/0449221482.01.MZZZZZZZ.jpg
0449221504,K Is for Killer (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1999,http://images.amazon.com/images/P/0449221504.01.MZZZZZZZ.jpg
0451169522,Misery,Stephen King,2004,http://images.amazon.com/images/P/0451169522.01.MZZZZZZZ.jpg
0451153553,Misery,Stephen King,1988,http://images.amazon.com/images/P/0451153553.01.MZZZZZZZ.jpg
8401491029,Misery,Stephen King,1999,http://images.amazon.com/images/P/8401491029.01.MZZZZZZZ.jpg
0670813648,Misery,Stephen King,1990,http://images.amazon.com/images/P/0670813648.01.MZZZZZZZ.jpg
2226036733,Misery,Stephen King,2000,http://images.amazon.com/images/P/2226036733.01.MZZZZZZZ.jpg
074323359X,Misery,Stephen King,2002,http://images.amazon.com/images/P/074323359X.01.MZZZZZZZ.jpg
0451177096,Dolores Claiborne,Stephen King,2004,http://images.amazon.com/images/P/0451177096.01.MZZZZZZZ.jpg
0670844527,Dolores Claiborne,Stephen King,1992,http://images.amazon.com/images/P/0670844527.01.MZZZZZZZ.jpg
0451184114,Dolores Claiborne,Stephen King,1995,http://images.amazon.com/images/P/0451184114.01.MZZZZZZZ.jpg
0785727094,Dolores Claiborne,Stephen King,1999,http://images.amazon.com/images/P/0785727094.01.MZZZZZZZ.jpg
0340546727,Dolores Claiborne,Stephen King,0,http://images.amazon.com/images/P/0340546727.01.MZZZZZZZ.jpg
0515128600,The Edge,Catherine Coulter,2000,http://images.amazon.com/images/P/0515128600.01.MZZZZZZZ.jpg
0449217191,The Edge,Dick Francis,1990,http://images.amazon.com/images/P/0449217191.01.MZZZZZZZ.jpg
039913414X,The Edge,Dick Francis,1989,http://images.amazon.com/images/P/039913414X.01.MZZZZZZZ.jpg
0399145060,The Edge,Catherine Coulter,1999,http://images.amazon.com/images/P/0399145060.01.MZZZZZZZ.jpg
0553574035,The Edge,Mark Olshaker,1995,http://images.amazon.com/images/P/0553574035.01.MZZZZZZZ.jpg
051513113X,The Edge,Dick Francis,2001,http://images.amazon.com/images/P/051513113X.01.MZZZZZZZ.jpg
0515132020,Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003,http://images.amazon.com/images/P/0515132020.01.MZZZZZZZ.jpg
0515133302,Hemlock Bay,Catherine Coulter,2002,http://images.amazon.com/images/P/0515133302.01.MZZZZZZZ.jpg
0399147381,Hemlock Bay,Catherine Coulter,2001,http://images.amazon.com/images/P/0399147381.01.MZZZZZZZ.jpg
0553268880,The Prince of Tides,Pat Conroy,1987,http://images.amazon.com/images/P/0553268880.01.MZZZZZZZ.jpg
0395353009,The Prince of Tides,Pat Conroy,1986,http://images.amazon.com/images/P/0395353009.01.MZZZZZZZ.jpg
0553381547,The Prince of Tides,Pat Conroy,2002,http://images.amazon.com/images/P/0553381547.01.MZZZZZZZ.jpg
0553271636,D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1988,http://images.amazon.com/images/P/0553271636.01.MZZZZZZZ.jpg
0553274295,Where the Red Fern Grows,Wilson Rawls,1984,http://images.amazon.com/images/P/0553274295.01.MZZZZZZZ.jpg
0553247816,Where the Red Fern Grows,Wilson Rawls,1981,http://images.amazon.com/images/P/0553247816.01.MZZZZZZZ.jpg
0553279556,E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1989,http://images.amazon.com/images/P/0553279556.01.MZZZZZZZ.jpg
0553280341,B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1986,http://images.amazon.com/images/P/0553280341.01.MZZZZZZZ.jpg
0553280368,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987,http://images.amazon.com/images/P/0553280368.01.MZZZZZZZ.jpg
0553571818,Long After Midnight,IRIS JOHANSEN,1997,http://images.amazon.com/images/P/0553571818.01.MZZZZZZZ.jpg
0671037692,Long After Midnight,Ray Bradbury,2004,http://images.amazon.com/images/P/0671037692.01.MZZZZZZZ.jpg
0553097156,Long After Midnight,Iris Johansen,1997,http://images.amazon.com/images/P/0553097156.01.MZZZZZZZ.jpg
0553572997,The Alienist,Caleb Carr,1995,http://images.amazon.com/images/P/0553572997.01.MZZZZZZZ.jpg
0679417796,The Alienist,Caleb Carr,1994,http://images.amazon.com/images/P/0679417796.01.MZZZZZZZ.jpg
0553582755,One Door Away from Heaven,Dean R. Koontz,2002,http://images.amazon.com/images/P/0553582755.01.MZZZZZZZ.jpg
0553801376,One Door Away from Heaven,Dean R. Koontz,2001,http://images.amazon.com/images/P/0553801376.01.MZZZZZZZ.jpg
0553586122,Reap the Wind,Iris Johansen,2002,http://images.amazon.com/images/P/0553586122.01.MZZZZZZZ.jpg
0553292447,Reap the Wind,Iris Johansen,1991,http://images.amazon.com/images/P/0553292447.01.MZZZZZZZ.jpg
0553801430,By the Light of the Moon,DEAN KOONTZ,2002,http://images.amazon.com/images/P/0553801430.01.MZZZZZZZ.jpg
0553582763,By the Light of the Moon,DEAN KOONTZ,2003,http://images.amazon.com/images/P/0553582763.01.MZZZZZZZ.jpg
0609804138,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999,http://images.amazon.com/images/P/0609804138.01.MZZZZZZZ.jpg
0553756869,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,2002,http://images.amazon.com/images/P/0553756869.01.MZZZZZZZ.jpg
0671001795,Two for the Dough,Janet Evanovich,1996,http://images.amazon.com/images/P/0671001795.01.MZZZZZZZ.jpg
0679457313,The God of Small Things,Arundhati Roy,1997,http://images.amazon.com/images/P/0679457313.01.MZZZZZZZ.jpg
0060977493,The God of Small Things,Arundhati Roy,1998,http://images.amazon.com/images/P/0060977493.01.MZZZZZZZ.jpg
0679459626,Flesh and Blood,Jonathan Kellerman,2001,http://images.amazon.com/images/P/0679459626.01.MZZZZZZZ.jpg
034541389X,Flesh and Blood,Jonathan Kellerman,2002,http://images.amazon.com/images/P/034541389X.01.MZZZZZZZ.jpg
0312953186,Flesh and Blood,James Neal Harvey,1996,http://images.amazon.com/images/P/0312953186.01.MZZZZZZZ.jpg
0881845337,Flesh and Blood,Francois Mauriac,1989,http://images.amazon.com/images/P/0881845337.01.MZZZZZZZ.jpg
0374181136,Flesh and Blood,Michael Cunningham,1995,http://images.amazon.com/images/P/0374181136.01.MZZZZZZZ.jpg
185381752X,Flesh and Blood,Michele Roberts,1994,http://images.amazon.com/images/P/185381752X.01.MZZZZZZZ.jpg
0425131785,Flesh and Blood,Thomas H. Cook,1992,http://images.amazon.com/images/P/0425131785.01.MZZZZZZZ.jpg
0786004517,Flesh and Blood,Patricia Springer,1997,http://images.amazon.com/images/P/0786004517.01.MZZZZZZZ.jpg
0679731148,A Year in Provence,Peter Mayle,1991,http://images.amazon.com/images/P/0679731148.01.MZZZZZZZ.jpg
0394572300,A Year in Provence,Peter Mayle,1990,http://images.amazon.com/images/P/0394572300.01.MZZZZZZZ.jpg
0679751521,Midnight in the Garden of Good and Evil,John Berendt,1999,http://images.amazon.com/images/P/0679751521.01.MZZZZZZZ.jpg
